السؤال,الجواب,الكلمة المفتاحية,التصنيف
هل يمكن أن يتعرض الطالب لعقوبات إذا اكتشف الغش بعد انتهاء الامتحان؟,نعم، يُحال الطالب إلى لجنة التحقيق المختصة ,الغش بعد الامتحان,تعليم
هل يمكن أن يتم استبدال أعضاء مجلس البحث العلمي قبل نهاية مدته؟,نعم، يمكن استبدال الأعضاء إذا لزم الأمر,استبدال الأعضاء,إجراءات تنفيذية
هل يمكن أن يتم تعيين عضو هيئة تدريسية من جامعة أخرى؟,نعم، يجوز للجامعة أن تعتمد الرتبة التي شغلها عضو الهيئة التدريسية في أي جامعة أخرى معترف بها ,تعيين من جامعة أخرى,شروط التوظيف
هل يمكن أن يحصل الموظف على المكافأة إذا كانت مدة خدمته أقل من  0 سنوات؟,لا، يجب أن لا تقل مدة الخدمة عن  0 سنوات ليحق للموظف التقدم للحصول على نسبة من المكافأة ,مدة الخدمة، حق الموظف,مكافأة
هل يمكن إنهاء خدمة عضو الهيئة التدريسية خلال فترة التجربة؟,نعم، يمكن إنهاء الخدمة في أي وقت إذا لم يتوافر فيه الشروط المطلوبة ,إنهاء الخدمة,شروط التعيين
هل يمكن إيفاد أعضاء هيئة التدريس في بعثات علمية؟,نعم، يجوز إيفاد أعضاء هيئة التدريس في بعثات علمية بقرار من مجلس العمداء بناءً على تنسيب مجلس القسم المختص، ومجلس الكلية، وتوصية لجنة التعيين والترقية ,إيفاد أعضاء هيئة التدريس، البعثات العلمية,أكاديمية، إدارية
هل يمكن استئجار الخزائن في أي وقت من السنة الدراسية؟,نعم، يمكن استئجار الخزائن في أي وقت من السنة الدراسية حسب توفرها ,استئجار خزائن، أي وقت,تأجير
هل يمكن استبدال أعضاء مجلس البحث العلمي قبل انتهاء مدة عضويتهم؟,نعم، يمكن استبدال الأعضاء إذا تطلب الأمر ذلك ,استبدال الأعضاء,إجراءات تنفيذية
هل يمكن استبدال أعضاء مجلس البحث العلمي قبل نهاية فترة عضويتهم؟,نعم، يمكن استبدال الأعضاء في حال حدوث أي طارئ أو استقالة,استبدال الأعضاء,إجراءات تنفيذية
هل يمكن استبدال أعضاء مجلس البحث العلمي قبل نهاية مدته؟,نعم، يمكن استبدال الأعضاء في حالات معينة,استبدال الأعضاء,إجراءات تنفيذية
هل يمكن استخدام الخزائن للأغراض الشخصية؟,لا، يجب أن تقتصر استخدامات الخزائن على الأغراض الجامعية فقط ,الأغراض الشخصية، الاستخدام المسموح,شروط الاستخدام
هل يمكن اعتبار العمل الإداري جزءًا من الترقية؟,نعم، يمكن اعتبار الأعمال المهنية والفنية المتميزة جزءًا من الإنتاج العلمي المعتمد للترقية ,العمل الإداري,معايير الترقية
هل يمكن الاعتراض على قرارات اللجنة الطبية الأولية؟,قرارات اللجنة الطبية الأولية قطعية ولا يمكن الاعتراض عليها بعد المصادقة ,اعتراض,اللجان الطبية
هل يمكن بيع المنتجات الزراعية الخاصة بالجامعة؟,نعم، يمكن بيع المنتجات الزراعية الخاصة بالجامعة حسب التعميمات التي يصدرها الرئيس لهذا الغرض ,بيع المنتجات الزراعية,إجراءات
هل يمكن تأجيل الإجازة السنوية؟,يمكن تأجيل الإجازة السنوية بناءً على المصلحة العامة أو ضرورة العمل، بشرط موافقة الإدارة ,تأجيل الإجازة,قوانين العمل
هل يمكن تأجيل الدراسة للسنة الأولى؟,لا يجوز تأجيل الدراسة للسنة الدراسية الأولى ,التأجيل، السنة الأولى,تعليم
هل يمكن تجديد مدة عضوية أعضاء مجلس البحث العلمي؟,نعم، العضوية قابلة للتجديد,تجديد العضوية,معلومات عامة
هل يمكن تخفيض قيمة الكفالة أو الرهن؟,نعم، يجوز لمجلس العمداء في حالات استثنائية مبررة تخفيض قيمة الكفالة أو الرهن بما يتلاءم مع مدة الإيفاد ,تخفيض الكفالة، الاستثناءات,قانونية، مالية
هل يمكن تعديل الراتب عند الترقية؟,نعم، يمكن تعديل الراتب بناءً على الرتبة الجديدة وظروف الجامعة المالية ,تعديل الراتب,إجراءات
هل يمكن تعديل بنود قرار الإيفاد من قبل مجلس العمداء؟,نعم، يجوز لمجلس العمداء تعديل أي من البنود الواردة في قرار الإيفاد إذا اقتضت الضرورة ذلك بما يتلاءم مع مصلحة الجامعة ,تعديل قرار الإيفاد، مجلس العمداء,إدارية، قانونية
هل يمكن تعديل جنسية الطالب إذا حصل على الجنسية الأردنية؟,لا يمكن تعديل جنسية الطالب إذا حصل على الجنسية الأردنية بعد تخرجه ,تعديل الجنسية,تعليم
هل يمكن تعديل موضوعات البحوث بعد الموافقة عليها من المجلس؟,نعم، يمكن تعديلها إذا تطلب الأمر بناءً على تقييم النتائج الأولية,تعديل الموضوعات,إجراءات تنفيذية
هل يمكن تعديل هذا النظام؟,نعم، يمكن تعديل النظام بقرارات من مجلس العمداء,تعديل النظام,إجراءات تنفيذية
هل يمكن تعديل هذا النظام؟,نعم، يمكن تعديله بناء على قرارات من مجلس العمداء,تعديل النظام,إجراءات تنفيذية
هل يمكن تغيير القفل في الخزنة بعد تأجيرها؟,نعم، يمكن تغيير القفل، ولكن يتم دفع 3 دنانير بدل طلب تغيير القفل ,تغيير القفل، بدل القفل,تكاليف الاستخدام
هل يمكن تغيير القيمة المحددة للموازم؟,لا يمكن تغيير القيمة المحددة للموازم إلا بموافقة الرئيس أو اللجنة المختصة ,تغيير القيمة,إجراءات
هل يمكن تغيير المشرف خلال فترة الدراسة؟,نعم، يجوز تغيير المشرف لظروف مبررة، وذلك بالطريقة نفسها التي تم بها تعيينه، كما يمكن تعديل عنوان الرسالة أو خطة الرسالة بناءً على تطورات البحث ,تغيير المشرف,الإشراف
هل يمكن تغيير شروط تمويل البحث العلمي؟,نعم، يمكن تغيير شروط التمويل بناء على احتياجات المشروع البحثي,شروط التمويل,مسؤوليات
هل يمكن تغيير مشرف الرسالة؟,نعم، يمكن تغيير المشرف في حالة وجود ظروف مبررة، وذلك بالطريقة نفسها التي تم بها تعيينه ,تغيير المشرف,الإشراف الأكاديمي
هل يمكن تقديم أكثر من كفيل في نفس الوقت؟,لا، يجب تقديم كفيلين فقط ,عدد الكفلاء,كفالة
هل يمكن تقديم إجازة استثنائية بعد نهاية السنة؟,يمكن تقديم إجازة استثنائية بعد نهاية السنة في حالات طارئة أو استثنائية بناءً على موافقة الإدارة ,إجازة استثنائية,قوانين العمل
هل يمكن تمديد إجازة أمومة بعد انتهائها؟,يمكن تمديد إجازة الأمومة في بعض الحالات الخاصة مثل الحاجة الصحية أو الأم المرضعة بناءً على موافقة الإدارة ,تمديد إجازة أمومة,قوانين العمل
هل يمكن تمديد الإجازة المرضية؟,نعم، يمكن تمديد الإجازة المرضية في حالة الحاجة الطبية بشرط الحصول على تقرير طبي موثق ,تمديد الإجازة,قوانين العمل
هل يمكن تمديد الإجازة في حالة العطلات الرسمية؟,لا يتم تمديد الإجازة إذا وقعت في العطلات الرسمية ما لم تكن هناك أسباب استثنائية ,تمديد الإجازة,قوانين العمل
هل يمكن تمديد مدة الإيفاد بعد انتهاء المدة المحددة؟,نعم، يمكن تمديد مدة الإيفاد لمدة لا تزيد على سنة واحدة بناءً على طلب الموفد إذا قدمت المؤسسة الموفد إليها ما يسوغ هذا التمديد ,تمديد الإيفاد، الشروط,نظام البعثات العلمية
هل يمكن تمديد مدة الدراسة للطالب بعد مرور الحد الأعلى؟,يجوز للمجلس تمديد مدة الدراسة للطالب فصلاً دراسيًا واحدًا بناء على تنسيب لجنة الكلية وتوصية لجنة القسم في حالات مبررة ,تمديد مدة الدراسة,الدراسة
هل يمكن قبول الطلاب المنتقلين من جامعات غير أردنية؟,نعم، بشرط أن يكونوا قد أكملوا بنجاح 30 ساعة معتمدة وحصلوا على تقدير جيد جدًا ,انتقال، جامعات غير أردنية,الانتقال
هل يمكن قبول الطلبة الحاصلين على شهادة دبلوم كليات المجتمع في البرنامج الدولي؟,نعم، يمكن قبولهم في البرنامج الدولي بشرط أن يكونوا ناجحين في الامتحان الشامل أو وفقاً لقرارات مجلس التعليم العالي ,قبول حملة الدبلوم,تعليمات جامعية
هل يمكن قبول طالب دبلوم في البرنامج الدولي بعد فصله من تخصصه؟,نعم، يجوز قبول طالب دبلوم مفصول من تخصصه في الدراسة الاستدراكية لمدة فصلين دراسيين لرفع معدله التراكمي ,قبول طالب دبلوم مفصول,تعليمات جامعية
هل يمكن قطع الإجازة الطارئة بعد منحها؟,لا يمكن قطع الإجازة الطارئة بعد منحها ,قطع الإجازة، الإجازة الطارئة,الإجازة الطارئة
هل يمكن قطع الإجازة الطارئة بعد منحها؟,لا يجوز قطع الإجازة الطارئة بعد أن تبدأ ,قطع الإجازة، الإجازة الطارئة,الإجازة الطارئة
هل يمكن لأعضاء مجلس البحث العلمي المشاركة في المشروعات البحثية؟,نعم، يمكن لأعضاء مجلس البحث العلمي المشاركة في المشروعات البحثية إذا لزم الأمر ,المشاركة في المشروعات,مسؤوليات
هل يمكن لزوجة المشترك وأبنائه الحصول على نظارات طبية؟,نعم، يحق لزوجة المشترك وأولاده وبناته المنتفعين معه حتى سن الثامنة عشرة الحصول على نظارات طبية أو عدسات لاصقة، مع نفس الشروط المحددة للمشترك ,نظارات طبية,الخدمات الصحية
هل يمكن لزوجة المشترك وأطفاله الحصول على نظارات طبية؟,نعم، يحق لزوجة المشترك وأطفاله حتى سن  8 سنة الحصول على نظارات طبية أو عدسات لاصقة مرة كل سنتين ,نظارات طبية للأبناء,الخدمات الصحية
هل يمكن لطالب البرنامج الدولي أن يسجل لعدد ساعات أقل من الحد الأدنى؟,نعم، يمكنه ذلك بعد موافقة عميد الكلية، بشرط ألا يتجاوز الحد الأعلى لمدة الدراسة المقررة ,تسجيل لعدد ساعات أقل,تعليمات جامعية
هل يمكن لعميد البحث العلمي تخصيص أموال لدعم أعضاء هيئة التدريس في مشاريعهم البحثية؟,نعم، يمكن تخصيص دعم مالي لأعضاء هيئة التدريس بناءً على تقييم مشروعاتهم,تخصيص الأموال,مسؤوليات
هل يمكن للجامعة أن تبرم عقود تأمين ضد الحوادث والطوارئ للعاملين؟,نعم، يجوز للجامعة أن تبرم عقود تأمين جماعي ضد الحوادث والطوارئ للعاملين ,عقود تأمين,تعليم
هل يمكن للجامعة إعارة الموازم للآخرين؟,لا، لا يمكن إعارة الموازم للآخرين إلا إذا كان ذلك في مصلحة الجامعة ويتم تحديده بناءً على التعميمات الخاصة ,إعارة الموازم,إجراءات
هل يمكن للجامعة التراجع عن قرار التعيين؟,نعم، في حال لم يستوفِ الشخص شروط التعيين، يمكن للجامعة التراجع عن القرار ,التراجع عن التعيين,إجراءات
هل يمكن للجامعة التعاون مع جهات أخرى في مجال البحث العلمي؟,نعم، يمكن للجامعة التعاون مع جهات أخرى متخصصة في البحث العلمي,التعاون مع الجهات الأخرى,مسؤوليات
هل يمكن للجامعة التعاون مع شركات خاصة في مجال البحث العلمي؟,نعم، يمكن للجامعة التعاون مع شركات خاصة إذا كانت تدعم أهداف البحث العلمي,التعاون مع الشركات,مسؤوليات
هل يمكن للجامعة تأجير الممتلكات الفائضة عن حاجتها؟,نعم، يمكن تأجير الممتلكات الفائضة عن حاجتها وفقًا للمشروط والتعميمات التي يصدرها مجلس العمداء ,تأجير الممتلكات,إجراءات
هل يمكن للطالب أن يأخذ مواد إضافية غير المواد المحددة في الخطة الدراسية؟,نعم، يجوز للطالب دراسة مواد إضافية شريطة تنسيب من لجنتي القسم والكلية وموافقة المجلس، ولا تحتسب هذه المواد ضمن المعدل التراكمي ,المواد الإضافية,التقويم الأكاديمي
هل يمكن للطالب أن يتعرض للفصل بعد الإنذار الأكاديمي؟,نعم، إذا لم يحصل الطالب على المعدل التراكمي المطلوب بعد الإنذار، يمكن فصله من البرنامج ,الفصل بعد الإنذار,الإنذار الأكاديمي
هل يمكن للطالب أن يتقدم للحصول على شهادة دبلوم الدراسات العليا إذا لم ينجح في مناقشة الرسالة؟,نعم، إذا لم ينجح الطالب في مناقشة رسالته أو لم يقم بالتعديلات المطلوبة في الوقت المحدد، يمكنه الحصول على شهادة دبلوم الدراسات العليا ,دبلوم الدراسات العليا، رسوب,شروط منح الشهادات
هل يمكن للطالب أن يتقدم للماجستير إذا كان لديه إنذار أكاديمي؟,نعم، يمكن للطالب التقدم للماجستير إذا كان قد تلقى إنذارًا أكاديميًا في مرحلة سابقة، بشرط أن يحقق المعدل التراكمي المطلوب ,التقديم للماجستير,الإنذار الأكاديمي
هل يمكن للطالب أن يحصل على دبلوم الدراسات العليا بعد رسوبه في الرسالة؟,نعم، يحق للطالب المفصول أكاديميًا أو الذي رسب في مناقشة الرسالة التقدم للحصول على دبلوم الدراسات العليا بشرط استيفائه لبقية الشروط المنصوص عليها في التعليمات الخاصة بالدبلوم ,دبلوم الدراسات العليا بعد الرسوب,الفصل الأكاديمي
هل يمكن للطالب أن يدرس أكثر من مادتين بديلتين؟,لا يجوز للطالب أن يدرس أكثر من مادتين بديلتين ,مادتين بديلتين,تعليم
هل يمكن للطالب أن يدرس مادة متطلبها السابق في نفس الفصل؟,نعم، إذا كان عميد الكلية يسمح بذلك,متطلبات سابقة,النظام الأكاديمي
هل يمكن للطالب أن يدرس مواد في جامعة أخرى خلال فترة دراسته في الجامعة الهاشمية؟,نعم، يمكن للطالب دراسة ما لا يزيد على  5 ساعة معتمدة في جامعة أخرى مع شروط معينة ,دراسة في جامعة أخرى,تعليم
هل يمكن للطالب أن يسجل في الجامعة لدرجتين علميتين في وقت واحد؟,لا يجوز لأي طالب أن يكون مسجلاً في الجامعة الهاشمية لدرجتين علميتين في وقت واحد ,التسجيل في درجتين علميتين,تعليم
هل يمكن للطالب أن يشارك في الإشراف على رسالة مع مشرف آخر؟,نعم، يمكن للمشرف الرئيسي أن يقرر مشاركة عضو هيئة تدريس آخر في الإشراف على رسالة الطالب، شريطة أن يكون له نفس المؤهلات المطلوبة للإشراف ,الإشراف المشترك,الإشراف
هل يمكن للطالب أن يغيب عن المحاضرات بسبب النشاطات الرسمية؟,نعم، يُسمح له بالتغيب بنسبة  0% داخل المملكة و30% خارجها ,النشاطات الرسمية، غياب,المواظبة
هل يمكن للطالب إتمام التدريب في مستشفيات غير معتمدة؟,لا، يجب أن يتم التدريب في المستشفيات التعليمية المعتمدة من الجامعة ,التدريب، المستشفيات المعتمدة,تعليم
هل يمكن للطالب إعادة المادة التي رسب فيها بعد التخرج؟,لا، يجب أن يتم إعادة المادة خلال فترة دراسته ,إعادة مادة، رسوب، تخرج,قوانين أكاديمية
هل يمكن للطالب إعادة تسجيله بعد انسحابه من الجامعة؟,يجوز للطالب المنسحب من الجامعة أن يتقدم للمجلس للنظر في إعادة تسجيله إذا كان معدله التراكمي أكثر من   0 نقطة، وذلك قبل مرور 6 فصول ,إعادة التسجيل,الانسحاب
هل يمكن للطالب إعادة دراسة مادة اختيارية نجح فيها؟,"نعم، يمكنه إعادة دراسة المادة الاختيارية إذا حصل فيها على علامة لا تزيد عن ""ج"" ",إعادة دراسة، مادة اختيارية,تعليم
"هل يمكن للطالب إعادة دراسة مادة حصل فيها على درجة ""ب"" أو أقل؟","نعم، يجوز للطالب إعادة دراسة أي مادة نجح فيها وحصل بها على درجة ""ب"" أو أقل، ولكن لا يجوز إعادة دراسة المادة أكثر من مرة ",إعادة دراسة المادة,التقويم الأكاديمي
"هل يمكن للطالب إعادة دراسة مادة حصل فيها على درجة ""ج"" أو أقل؟","نعم، يمكن للطالب إعادة دراسة أي مادة حصل فيها على درجة ""ج"" أو أقل، ولكن يجب أن يعيدها في الفصل الذي يليه وعدم تجاوز هذا أكثر من مرة ",إعادة دراسة المواد,التقويم الأكاديمي
هل يمكن للطالب إعادة دراسة مادة فشل فيها قبل نهاية العام الدراسي؟,نعم، يمكنه إعادة المادة في الفصل التالي ,إعادة دراسة، فشل، مادة,قوانين أكاديمية
هل يمكن للطالب إعادة دراسة مادة نجح فيها؟,"نعم، إذا كانت علامته لا تزيد عن ""ج+"" ",إعادة دراسة، مواد,التقييم
هل يمكن للطالب إعادة دراسة مادة نجح فيها؟,"نعم، يجوز للطالب إعادة دراسة أي مادة نجح فيها وحصل بها على علامة ""ب"" أو أقل، ولا يجوز إعادة دراسة المادة الواحدة أكثر من مرة ",إعادة دراسة مادة,التقويم الأكاديمي
هل يمكن للطالب إعادة دراسة مادة نجح فيها؟,"نعم، بشرط أن تكون علامته لا تزيد عن ""C+"" في هذه المادة ",إعادة دراسة، نجاح، علامات,قوانين أكاديمية
هل يمكن للطالب إعادة دراسة مواد إذا كان معدله التراكمي أقل من الحد الأدنى؟,نعم، يجوز للطالب إذا قل معدله التراكمي عن الحد الأدنى إعادة دراسة عدد معين من الساعات على الأكثر طوال مدة دراسته للدكتوراه ,إعادة دراسة مواد,تعليمات جامعية
هل يمكن للطالب استبدال مادة اختيارية عند إعادة دراستها؟,نعم، إذا كانت المادة اختيارية، يمكن للطالب دراسة مادة اختيارية أخرى، وتحتسب العلامة الأعلى في المعدل الفصلي والتراكمي ,مادة اختيارية,تعليمات جامعية
هل يمكن للطالب استبدال مادة مهارات حاسوب؟,يجوز للطالب استبدال مادة مهارات حاسوب بمادة أخرى بموافقة مجلس الكلية في حالات خاصة ,مهارات حاسوب,تعليم
هل يمكن للطالب استخدام الخزنة لأغراض شخصية؟,لا، يجب على الطالب استخدام الخزنة لأغراض جامعية فقط ,استخدام الخزنة,تعليم
هل يمكن للطالب استرجاع مبلغ التأمين إذا قام بتسليم الخزانة في الموعد؟,نعم، يتم استرجاع مبلغ التأمين عند تسليم الخزانة في الموعد المحدد وبحالة جيدة ,استرجاع التأمين، تسليم الخزانة,تكاليف الاستخدام
هل يمكن للطالب الاستمرار في دراسته إذا تم فصله مؤقتاً؟,لا، يتم فصل الطالب مؤقتاً ولا يُحتسب له أي مواد دراسية خلال فترة الفصل ,الفصل المؤقت,تعليم
هل يمكن للطالب الانتقال إذا كان قد فصل تأديبيًا من جامعته السابقة؟,لا يُسمح له بالانتقال في هذه الحالة ,انتقال، فصل تأديبي,الانتقال
هل يمكن للطالب الانتقال إلى تخصص آخر في الجامعة إذا كان معدله الأكاديمي في التخصص الحالي أقل من المطلوب؟,نعم، يمكن أن يتم الانتقال بناءً على القواعد العامة للمعدل التنافسي في حال كان المعدل أقل من المطلوب في التخصص الحالي ,التخصص الآخر,تعليم
هل يمكن للطالب الانتقال إلى تخصص قريب من تخصصه في حال عدم توفر التخصص المطلوب في الجامعة؟,نعم، يمكن النظر في إمكانية انتقال الطالب إلى تخصص قريب من تخصصه إذا لم يتوفر التخصص المطلوب ,التخصصات القريبة,تعليم
هل يمكن للطالب الانتقال إلى تخصص لا يتناسب مع معدله التراكمي؟,لا، يجب أن يتناسب مع شروط القبول في التخصص الجديد ,انتقال، معدل تراكمي,الانتقال
هل يمكن للطالب الانتقال بين التخصصات عدة مرات؟,لا، لا يُسمح للطالب بالانتقال أكثر من مرة واحدة خلال مدة دراسته ,انتقال، تخصص، مرات,الانتقال
هل يمكن للطالب الانتقال من البرنامج الدولي إلى البرنامج العادي؟,لا، لا يجوز الانتقال من البرنامج الدولي إلى البرنامج العادي ,الانتقال إلى البرنامج العادي,تعليمات جامعية
هل يمكن للطالب الانتقال من برنامج إلى آخر في الجامعة؟,نعم، يجوز انتقال الطالب من برنامج إلى آخر إذا استوفى شروط القبول في البرنامج الجديد وحقق الحد الأدنى المطلوب من المعدل التراكمي ,الانتقال,تعليم
هل يمكن للطالب الانتقال من برنامج دبلوم إلى برنامج ماجستير؟,يجوز للطالب الانتقال بين البرامج بشرط تحقيق شروط معادلة المواد والتأكد من توافق المعدلات والشروط الأكاديمية ,الانتقال بين البرامج,تعليمات جامعية
هل يمكن للطالب الانتقال من تخصص إلى آخر أكثر من مرة؟,لا يسمح للطالب بالانتقال من تخصص إلى آخر أكثر من مرة خلال مدة دراسته في الجامعة ,الانتقال المتعدد,تعليم
هل يمكن للطالب الانتقال من تخصص إلى آخر أكثر من مرة خلال دراسته؟,لا يسمح للطالب بالانتقال من تخصص إلى آخر أكثر من مرة واحدة خلال مدة دراسته في الجامعة ,الانتقال، التخصص، القيود,تعليم
هل يمكن للطالب الانسحاب من الجامعة إذا كان محالًا إلى لجنة التحقيق؟,لا، لا يجوز له الانسحاب حتى صدور قرار قطعي بالعقوبة ,لجنة تحقيق، انسحاب,الانسحاب من الجامعة
هل يُمكن للطالب الانسحاب من مادة بعد انتهاء فترة الانسحاب؟,لا، الانسحاب يتم فقط قبل أسبوع من بدء الامتحانات النهائية ,انسحاب، مواد، فترة,قوانين أكاديمية
هل يمكن للطالب التحويل من برنامج ماجستير إلى آخر؟,نعم، يجوز للطالب الانتقال من برنامج ماجستير في الجامعة إلى برنامج ماجستير آخر بناءً على توصية من لجنتي الكليتين المعنيتين ,التحويل بين البرامج,التحويل
هل يمكن للطالب التسجيل في    ساعة معتمدة في الفصل العادي؟,نعم، إذا كان الطالب يحقق شروط معينة مثل المعدل التراكمي أو إذا كانت المواد تتعلق بالتخرج فقط,شروط التسجيل,النظام الأكاديمي
هل يمكن للطالب التسجيل في عدد ساعات أقل من الحد الأدنى؟,نعم، يسمح للطالب بالتسجيل لعدد ساعات أقل من الحد الأدنى بعد موافقة عميد الكلية ,التسجيل في ساعات أقل,تعليمات أكاديمية
هل يمكن للطالب التسجيل في مادة رسالة قبل إتمام متطلبات أخرى؟,لا يجوز للطالب تسجيل ساعات الرسالة قبل أن ينهي دراسة    ساعة معتمدة بنجاح، وأن يتم تعيين مشرف له واعتماد خطة رسالته ,تسجيل الرسالة,التسجيل
هل يمكن للطالب التسجيل لعدد أقل من الساعات المعتمدة في الفصل الإجباري؟,يجوز للطالب التسجيل لعدد أقل من الساعات المعتمدة في الفصل الإجباري بموافقة عميد الكلية ,التسجيل,تعليم
هل يمكن للطالب التظلم من العقوبات التأديبية؟,نعم، للطالب الحق في التظلم من العقوبات التي فرضت عليه ,التظلم من العقوبات,تعليم
هل يمكن للطالب التظلم من القرارات التأديبية؟,نعم، يمكن للطالب التظلم من العقوبات مثل الفصل النهائي ,التظلم من القرارات,تعليم
هل يمكن للطالب التظلم من القرار التأديبي؟,نعم، يمكن للطالب التظلم من قرار الفصل النهائي أو التجميد خلال 30 يومًا ,التظلم من القرار,تعليم
هل يمكن للطالب التعديل على رسالته بعد المناقشة؟,نعم، إذا كان الطالب بحاجة إلى تعديل الرسالة، يجب أن يتم ذلك في فترة لا تتجاوز 4 أشهر  بعد التعديلات، يتم عرض الرسالة على لجنة المناقشة ,تعديل الرسالة، فترة التعديل,تعديل الرسالة
هل يمكن للطالب التقدم لأكثر من برنامج دراسي في نفس الوقت؟,لا يجوز للطالب أن يُقبل في برنامجين دراسيين في نفس الوقت في أي مرحلة من مراحل دراسته ,التقديم لبرامج متعددة,تعليم
هل يمكن للطالب التقدم للامتحان الشامل إذا كان معدله أقل من 3؟,لا، لا يُسمح للطالب بالتقدم للامتحان الشامل إلا إذا كان معدله التراكمي في المواد المقررة لا يقل عن 3 نقاط ,شرط المعدل، الامتحان الشامل,امتحان الماجستير
هل يمكن للطالب التقدم للامتحان الشامل إذا لم ينهي كل المواد؟,لا، لا يمكن للطالب التقدم للامتحان الشامل إلا إذا أنهى جميع المواد المقررة وشروط البرنامج الأخرى ,التقدم للامتحان الشامل,الامتحانات الأكاديمية
هل يمكن للطالب التقدم للامتحان الشامل في أكثر من فصل دراسي؟,نعم، يمكن للطالب التقدم للامتحان الشامل مرة واحدة في كل فصل دراسي، بما في ذلك الفصل الصيفي ,التقدم للامتحان الشامل,الامتحانات الأكاديمية
هل يمكن للطالب التقدم للامتحان الشامل قبل إتمام المواد المقررة؟,لا، يجب على الطالب إتمام جميع المواد المقررة في البرنامج قبل التقدم للامتحان الشامل ,التقدم للامتحان، المواد المقررة,امتحان الماجستير
هل يمكن للطالب التقدم للامتحان الشامل قبل إنهاء المواد المقررة؟,لا، يجب على الطالب إنهاء المواد المقررة قبل التقدم للامتحان الشامل ,التقدم للامتحان، إنهاء المواد,امتحان الماجستير
هل يمكن للطالب التقدم للحصول على درجة الماجستير في حالة فشله في المناقشة؟,لا، في حال فشل الطالب في المناقشة أو لم يُجرِ التعديلات المطلوبة في الوقت المحدد، يتم منحه شهادة دبلوم الدراسات العليا ,فشل في المناقشة، دبلوم الدراسات العليا,شروط منح الشهادات
هل يمكن للطالب التقدم للحصول على شهادة دبلوم الدراسات العليا في حال رسوبه في مناقشة الرسالة؟,نعم، إذا رسب الطالب في مناقشة الرسالة أو لم يُجرِ التعديلات المطلوبة في الوقت المحدد، فإنه يُمنح شهادة دبلوم الدراسات العليا ,رسوب المناقشة، دبلوم الدراسات العليا,شروط منح الشهادات
هل يمكن للطالب التقديم للحصول على شهادة دبلوم الدراسات العليا بعد الرسوب في الامتحان الشامل؟,نعم، إذا رسب الطالب في الامتحان الشامل مرتين، يمكنه التقديم للحصول على شهادة دبلوم الدراسات العليا ,دبلوم الدراسات العليا، رسوب,شروط منح الشهادات
هل يمكن للطالب التقديم للحصول على شهادة دبلوم الدراسات العليا بعد رسوبه في الامتحان الشامل؟,نعم، يمكن للطالب التقدم للحصول على شهادة دبلوم الدراسات العليا إذا رسب في الامتحان الشامل للمرة الثانية ,دبلوم الدراسات العليا، رسوب,شروط منح الشهادات
هل يمكن للطالب التقديم للماجستير في حالة عدم اجتيازه للامتحان الشامل؟,لا، لا يمكن للطالب التقديم للماجستير في حال رسوبه في الامتحان الشامل مرتين ,التقديم للماجستير,الامتحانات الأكاديمية
هل يمكن للطالب الحصول على إجازة طارئة أكثر من مرة؟,لا، يُسمح للطالب بالحصول على إجازة طارئة لمرة واحدة فقط طوال فترة عمله في الجامعة ,إجازة طارئة، مرة واحدة,الإجازة الطارئة
هل يمكن للطالب الحصول على دبلوم الدراسات العليا دون إتمام الرسالة؟,نعم، يمكن للطالب الحصول على شهادة دبلوم الدراسات العليا إذا فشل في إتمام رسالته بعد 8 فصول دراسية أو رسوبه في الامتحان الشامل مرتين ,دبلوم الدراسات العليا,التخرج والدرجات
هل يمكن للطالب الحصول على درجة الشرف إذا كان معدله التراكمي منخفضًا؟,لا، يجب أن يكون معدل الطالب التراكمي 3 5 أو أعلى للحصول على درجة الشرف ,درجة الشرف,تعليم
هل يمكن للطالب الحصول على شهادة دبلوم الدراسات العليا بدلاً من الماجستير؟,نعم، يمكن للطالب الحصول على شهادة دبلوم الدراسات العليا إذا لم يستطع إنجاز رسالة الماجستير بعد مرور ثمانية فصول دراسية أو إذا رسب في الامتحان الشامل مرتين ,دبلوم الدراسات العليا,التخرج والدرجات
هل يمكن للطالب الحصول على شهادة دبلوم الدراسات العليا بعد رسوبه في الامتحان الشامل؟,نعم، إذا رسب الطالب في الامتحان الشامل مرتين، يمنح شهادة دبلوم الدراسات العليا وفقًا لأحكام التعليمات ,دبلوم الدراسات العليا,التخرج والدرجات
هل يمكن للطالب الحصول على مادة بديلة إذا لم تكن مادة الاختيارية المطروحة متاحة في الفصل؟,نعم، يمكن للعميد الموافقة على أن يدرس الطالب مادة بديلة مماثلة في المستوى وعدد الساعات المعتمدة ,مادة بديلة,تعليم
هل يمكن للطالب الدراسة في برنامج مناظر في جامعة أخرى؟,نعم، يمكن للطالب أن يدرس ما لا يزيد عن ساعات معتمدة في برنامج مناظر في جامعة أخرى بشرط الحصول على موافقة مسبقة من المجلس ,الدراسة في جامعة أخرى,تعليم
هل يمكن للطالب الدراسة في جامعة أخرى أثناء دراسته في الجامعة؟,نعم، يسمح للطالب بدراسة ما لا يزيد عن    ساعة معتمدة في جامعة أخرى معترف بها ,الدراسة في جامعة أخرى,تعليم
